accuracy,auc,loss,precision,accuracy_3,precision_3,recall_3,f1_3,accuracy_5,precision_5,recall_5,f1_5,accuracy_7,precision_7,recall_7,f1_7,duration
0.500749, 0.527386, 0.750400, 0.554661, 0.513194, 0.530697, 0.457596, 0.491443, 0.500749, 0.554661, 0.145748, 0.230839, 0.485983, nan, 0.000000, nan, 98
0.664747, 0.712806, 0.627637, 0.708104, 0.527666, 0.521450, 0.985651, 0.682062, 0.664747, 0.708104, 0.591682, 0.644679, 0.485983, nan, 0.000000, nan, 96
0.687124, 0.752348, 0.590672, 0.731830, 0.661206, 0.636110, 0.796570, 0.707355, 0.687124, 0.731830, 0.617636, 0.669901, 0.650510, 0.843160, 0.393226, 0.536325, 96
0.710235, 0.776349, 0.565638, 0.755653, 0.670565, 0.640059, 0.820523, 0.719142, 0.710235, 0.755653, 0.644762, 0.695817, 0.676898, 0.875723, 0.432843, 0.579337, 96
0.716611, 0.785046, 0.542388, 0.787818, 0.677926, 0.651681, 0.802172, 0.719138, 0.716611, 0.787818, 0.614063, 0.690173, 0.696659, 0.899972, 0.461112, 0.609790, 95
0.718477, 0.784483, 0.541901, 0.817318, 0.584996, 0.556776, 0.944490, 0.700568, 0.718477, 0.817318, 0.582507, 0.680218, 0.695851, 0.914365, 0.450479, 0.603589, 96
0.712439, 0.783631, 0.537624, 0.858225, 0.613264, 0.579426, 0.903216, 0.705965, 0.712439, 0.858225, 0.527740, 0.653581, 0.686521, 0.939298, 0.417093, 0.577672, 96
0.714452, 0.785989, 0.531830, 0.856324, 0.652479, 0.619743, 0.838216, 0.712611, 0.714452, 0.856324, 0.534086, 0.657865, 0.691957, 0.936702, 0.429756, 0.589192, 97
0.720182, 0.789286, 0.528014, 0.816899, 0.659458, 0.627806, 0.828898, 0.714472, 0.720182, 0.816899, 0.587252, 0.683296, 0.701596, 0.915558, 0.462084, 0.614186, 96
0.717052, 0.784834, 0.532730, 0.857546, 0.616071, 0.582073, 0.897442, 0.706146, 0.717052, 0.857546, 0.539088, 0.662010, 0.689504, 0.947069, 0.419380, 0.581334, 95
0.717302, 0.787151, 0.527317, 0.861035, 0.645191, 0.611079, 0.851965, 0.711692, 0.717302, 0.861035, 0.536630, 0.661184, 0.694837, 0.933781, 0.437330, 0.595678, 95
0.719653, 0.789691, 0.525995, 0.838354, 0.655975, 0.622886, 0.838159, 0.714663, 0.719653, 0.838354, 0.563184, 0.673757, 0.700993, 0.919505, 0.458425, 0.611822, 95
0.710911, 0.786023, 0.532583, 0.876235, 0.660207, 0.629324, 0.824696, 0.713885, 0.710911, 0.876235, 0.509561, 0.644388, 0.680850, 0.955930, 0.397427, 0.561438, 96
0.722474, 0.790505, 0.527341, 0.807269, 0.656901, 0.624313, 0.834958, 0.714432, 0.722474, 0.807269, 0.604373, 0.691240, 0.710837, 0.896806, 0.494326, 0.637344, 96
0.713585, 0.787528, 0.529663, 0.875940, 0.623681, 0.587990, 0.895069, 0.709738, 0.713585, 0.875940, 0.515850, 0.649313, 0.686742, 0.955953, 0.409433, 0.573315, 96
0.719741, 0.789273, 0.528459, 0.816378, 0.665849, 0.635907, 0.818637, 0.715794, 0.719741, 0.816378, 0.586737, 0.682765, 0.704622, 0.905234, 0.475089, 0.623140, 96
0.720475, 0.792007, 0.524431, 0.825608, 0.683274, 0.658185, 0.798514, 0.721590, 0.720475, 0.825608, 0.578362, 0.680214, 0.698084, 0.926949, 0.447935, 0.603997, 96
0.719271, 0.791407, 0.523861, 0.835489, 0.697570, 0.683279, 0.767300, 0.722857, 0.719271, 0.835489, 0.565128, 0.674214, 0.700097, 0.929806, 0.450565, 0.606993, 96
0.722400, 0.792891, 0.523211, 0.818495, 0.670668, 0.638503, 0.828184, 0.721078, 0.722400, 0.818495, 0.590996, 0.686386, 0.707252, 0.911385, 0.476833, 0.626095, 96
0.717904, 0.789321, 0.527232, 0.843795, 0.643928, 0.608762, 0.859940, 0.712872, 0.717904, 0.843795, 0.553694, 0.668634, 0.691678, 0.946599, 0.424096, 0.585760, 95
0.725045, 0.797273, 0.518286, 0.838064, 0.654888, 0.618819, 0.855681, 0.718226, 0.725045, 0.838064, 0.576476, 0.683082, 0.705812, 0.931182, 0.461798, 0.617407, 96
