epoch,batch,loss,duration
1, 1, 0.743840, 4.055202
1, 2, 0.763503, 1.850240
1, 3, 0.725250, 2.108761
1, 4, 0.765825, 1.292644
1, 5, 0.689565, 2.081009
1, 6, 0.681414, 2.172538
1, 7, 0.663939, 2.944941
1, 8, 0.685324, 2.988818
1, 9, 0.669540, 4.572146
1, 10, 0.662836, 2.966089
1, 11, 0.668819, 4.405242
1, 12, 0.677758, 2.833633
1, 13, 0.660676, 5.452941
1, 14, 0.667817, 2.147350
1, 15, 0.675543, 3.482779
1, 16, 0.637695, 2.477948
1, 17, 0.647776, 1.372406
1, 18, 0.645199, 1.922514
1, 19, 0.669681, 1.500393
1, 20, 0.643813, 1.833634
1, 21, 0.652887, 1.670735
1, 22, 0.628102, 1.804461
1, 23, 0.634859, 1.389354
1, 24, 0.599973, 1.030071
1, 25, 0.642825, 1.952786
1, 26, 0.650256, 2.017150
1, 27, 0.643763, 2.649944
1, 28, 0.630994, 2.449658
1, 29, 0.622693, 0.897336
1, 30, 0.652734, 3.493845
1, 31, 0.622441, 1.835331
1, 32, 0.600526, 1.583980
1, 33, 0.652045, 2.770987
1, 34, 0.685466, 5.057408
1, 35, 0.644110, 2.669243
1, 36, 0.633825, 1.787346
1, 37, 0.598765, 1.458912
1, 38, 0.638172, 2.963927
1, 39, 0.664003, 2.667045
1, 40, 0.660006, 1.266148
1, 41, 0.601015, 1.501551
1, 42, 0.586253, 1.663421
1, 43, 0.637802, 3.193729
1, 44, 0.627897, 3.041647
1, 45, 0.599819, 2.291597
1, 46, 0.666722, 2.799566
1, 47, 0.629843, 4.698364
1, 48, 0.613178, 1.703028
1, 49, 0.618905, 2.937723
1, 50, 0.615693, 2.281751
1, 51, 0.631826, 3.612043
1, 52, 0.614941, 0.866431
1, 53, 0.630951, 2.866449
1, 54, 0.607360, 1.360952
1, 55, 0.655598, 3.307653
1, 56, 0.643673, 2.001562
1, 57, 0.627263, 2.805025
1, 58, 0.674523, 3.830391
1, 59, 0.606980, 2.470490
1, 60, 0.589908, 1.273654
1, 61, 0.598218, 1.121545
1, 62, 0.623874, 2.728337
1, 63, 0.593437, 1.447154
1, 64, 0.635513, 3.175337
1, 65, 0.649807, 4.033610
1, 66, 0.629880, 3.374916
1, 67, 0.643225, 2.869378
1, 68, 0.614231, 2.478706
1, 69, 0.598083, 2.667393
1, 70, 0.593035, 2.466893
1, 71, 0.620328, 4.124934
1, 72, 0.622007, 2.017909
1, 73, 0.591333, 2.560038
1, 74, 0.651232, 2.375165
1, 75, 0.570045, 2.089080
1, 76, 0.652610, 3.034716
1, 77, 0.771833, 3.763617
1, 78, 0.605017, 2.470074
1, 79, 0.621320, 1.419750
1, 80, 0.632820, 2.718680
2, 1, 0.629567, 2.635617
2, 2, 0.610638, 2.964577
2, 3, 0.633081, 2.769495
2, 4, 0.603429, 3.041788
2, 5, 0.597670, 0.867379
2, 6, 0.573352, 1.662177
2, 7, 0.613304, 2.147740
2, 8, 0.560120, 0.883230
2, 9, 0.762336, 3.947211
2, 10, 0.590186, 2.530303
2, 11, 0.587433, 1.813019
2, 12, 0.688654, 4.589179
2, 13, 0.586966, 1.265160
2, 14, 0.624993, 2.004667
2, 15, 0.678432, 4.739206
2, 16, 0.599363, 1.495865
2, 17, 0.637887, 1.435296
2, 18, 0.568042, 1.489153
2, 19, 0.615232, 3.255928
2, 20, 0.650646, 2.983536
2, 21, 0.620050, 3.557676
2, 22, 0.577347, 2.268442
2, 23, 0.617390, 3.180488
2, 24, 0.599098, 2.786707
2, 25, 0.611922, 3.086045
2, 26, 0.577427, 2.882424
2, 27, 0.633068, 1.378418
2, 28, 0.613052, 2.023007
2, 29, 0.580607, 1.265397
2, 30, 0.607172, 2.720776
2, 31, 0.590916, 1.353365
2, 32, 0.671593, 4.418445
2, 33, 0.588652, 1.267872
2, 34, 0.635517, 2.363548
2, 35, 0.630831, 5.105478
2, 36, 0.634559, 3.507139
2, 37, 0.548484, 2.074259
2, 38, 0.565529, 2.629386
2, 39, 0.586404, 2.453596
2, 40, 0.602661, 2.988695
2, 41, 0.556723, 2.666859
2, 42, 0.605493, 1.943460
2, 43, 0.580808, 2.448285
2, 44, 0.615656, 2.859922
2, 45, 0.590645, 2.450153
2, 46, 0.569757, 1.260335
2, 47, 0.586070, 2.906862
2, 48, 0.554852, 2.450083
2, 49, 0.608142, 3.202436
2, 50, 0.607113, 2.286025
2, 51, 0.607706, 4.191511
2, 52, 0.663965, 3.772283
2, 53, 0.540911, 1.581471
2, 54, 0.557260, 1.317772
2, 55, 0.573116, 5.664574
2, 56, 0.632990, 3.075258
2, 57, 0.561864, 1.823200
2, 58, 0.600273, 2.669949
2, 59, 0.573396, 1.011144
2, 60, 0.538932, 1.576543
2, 61, 0.557855, 1.444592
2, 62, 0.557980, 3.525756
2, 63, 0.574526, 2.477290
2, 64, 0.580861, 2.289094
2, 65, 0.612679, 4.018276
2, 66, 0.535597, 1.130295
2, 67, 0.597898, 2.939622
2, 68, 0.535770, 1.501251
2, 69, 0.681640, 2.457546
2, 70, 0.581814, 1.819781
2, 71, 0.710002, 3.862150
2, 72, 0.539738, 1.900376
2, 73, 0.632015, 2.862312
2, 74, 0.545829, 1.437006
2, 75, 0.624496, 2.813244
2, 76, 0.597000, 1.767741
2, 77, 0.604129, 2.009981
2, 78, 0.631614, 2.988894
2, 79, 0.561668, 2.191054
2, 80, 0.628895, 2.140623
