accuracy,auc,loss,precision,accuracy_3,precision_3,recall_3,f1_3,accuracy_5,precision_5,recall_5,f1_5,accuracy_7,precision_7,recall_7,f1_7,duration
0.457500, 0.561039, 0.708480, nan, 0.542500, 0.542500, 1.000000, 0.703404, 0.457500, nan, 0.000000, nan, 0.457500, nan, 0.000000, nan, 204
0.740168, 0.822140, 0.487162, 0.892786, 0.715827, 0.707796, 0.810984, 0.755884, 0.740168, 0.892786, 0.592159, 0.712042, 0.711800, 0.962028, 0.488017, 0.647547, 204
0.742642, 0.823514, 0.483490, 0.878107, 0.702207, 0.682011, 0.845103, 0.754848, 0.742642, 0.878107, 0.610329, 0.720131, 0.714097, 0.963061, 0.491855, 0.651152, 204
0.742548, 0.823832, 0.483199, 0.874091, 0.693313, 0.668047, 0.864001, 0.753492, 0.742548, 0.874091, 0.613857, 0.721217, 0.714997, 0.962107, 0.494109, 0.652905, 204
0.741577, 0.823413, 0.484419, 0.884134, 0.703175, 0.682779, 0.845835, 0.755610, 0.741577, 0.884134, 0.602618, 0.716724, 0.709758, 0.967367, 0.481226, 0.642723, 204
0.742789, 0.824185, 0.483348, 0.869706, 0.688434, 0.660841, 0.874496, 0.752802, 0.742789, 0.869706, 0.618545, 0.722932, 0.721927, 0.949701, 0.514681, 0.667576, 203
0.742829, 0.824039, 0.483201, 0.873163, 0.691807, 0.665698, 0.867594, 0.753354, 0.742829, 0.873163, 0.615337, 0.721921, 0.713870, 0.961802, 0.492116, 0.651093, 204
0.742677, 0.824037, 0.483239, 0.870702, 0.682094, 0.653195, 0.882605, 0.750766, 0.742677, 0.870702, 0.617347, 0.722457, 0.718287, 0.958988, 0.502189, 0.659186, 207
0.742409, 0.824363, 0.482868, 0.875467, 0.691662, 0.665319, 0.868546, 0.753469, 0.742409, 0.875467, 0.612272, 0.720589, 0.717068, 0.959043, 0.499811, 0.657147, 208
0.741646, 0.824110, 0.483794, 0.882964, 0.692169, 0.666137, 0.867207, 0.753489, 0.741646, 0.882964, 0.603804, 0.717176, 0.712207, 0.964452, 0.487474, 0.647616, 206
0.742814, 0.824501, 0.482723, 0.874429, 0.695697, 0.670846, 0.862033, 0.754517, 0.742814, 0.874429, 0.614113, 0.721509, 0.719121, 0.955933, 0.505556, 0.661349, 206
0.742513, 0.824470, 0.483498, 0.881219, 0.707631, 0.689649, 0.838331, 0.756756, 0.742513, 0.881219, 0.607216, 0.718998, 0.713517, 0.963289, 0.490619, 0.650120, 205
0.742913, 0.824290, 0.482740, 0.877537, 0.695439, 0.670747, 0.861472, 0.754239, 0.742913, 0.877537, 0.611435, 0.720708, 0.715913, 0.961289, 0.496325, 0.654648, 207
0.742779, 0.824537, 0.482410, 0.869192, 0.691615, 0.665371, 0.868168, 0.753361, 0.742779, 0.869192, 0.619018, 0.723077, 0.719657, 0.956294, 0.506381, 0.662142, 207
0.742563, 0.824227, 0.483044, 0.879624, 0.697543, 0.674030, 0.856872, 0.754532, 0.742563, 0.879624, 0.608773, 0.719554, 0.713602, 0.962998, 0.490941, 0.650337, 207
0.742866, 0.824567, 0.482395, 0.871647, 0.695013, 0.669831, 0.863387, 0.754392, 0.742866, 0.871647, 0.616855, 0.722444, 0.720434, 0.955049, 0.508609, 0.663743, 207
0.742850, 0.824574, 0.483288, 0.857815, 0.679156, 0.649052, 0.889591, 0.750520, 0.742850, 0.857815, 0.630497, 0.726796, 0.720637, 0.954433, 0.509364, 0.664237, 208
0.742886, 0.824733, 0.482839, 0.868626, 0.684386, 0.655332, 0.882222, 0.752037, 0.742886, 0.868626, 0.619798, 0.723413, 0.721354, 0.952681, 0.511788, 0.665867, 207
0.742868, 0.824656, 0.482304, 0.870446, 0.689158, 0.662059, 0.872251, 0.752757, 0.742868, 0.870446, 0.618005, 0.722818, 0.719602, 0.956789, 0.505988, 0.661925, 208
0.742335, 0.824595, 0.482767, 0.880602, 0.698915, 0.675837, 0.855199, 0.755012, 0.742335, 0.880602, 0.607396, 0.718918, 0.715735, 0.961513, 0.495858, 0.654293, 207
0.742556, 0.824797, 0.486486, 0.835687, 0.653929, 0.622087, 0.922478, 0.743072, 0.742556, 0.835687, 0.654048, 0.733794, 0.723390, 0.947615, 0.518799, 0.670509, 207
