epoch,batch,loss,duration
1, 1, 0.744794, 2.490830
1, 2, 0.696439, 2.214551
1, 3, 0.682706, 2.605041
1, 4, 0.672726, 2.574669
1, 5, 0.663134, 3.234933
1, 6, 0.657687, 2.953980
1, 7, 0.655044, 6.977779
1, 8, 0.654123, 5.297748
1, 9, 0.679265, 1.837446
1, 10, 0.660187, 3.833084
1, 11, 0.673119, 1.670997
1, 12, 0.666278, 2.079966
1, 13, 0.653663, 2.955152
1, 14, 0.643015, 4.265339
1, 15, 0.633106, 4.320112
1, 16, 0.636628, 4.669815
1, 17, 0.632281, 5.876603
1, 18, 0.635761, 2.860628
1, 19, 0.631810, 4.914613
1, 20, 0.624741, 2.123873
1, 21, 0.626545, 3.151098
1, 22, 0.623162, 4.655123
1, 23, 0.616565, 3.180890
1, 24, 0.615511, 3.822967
1, 25, 0.606965, 3.557336
1, 26, 0.601631, 2.896749
1, 27, 0.595829, 2.009998
1, 28, 0.595593, 1.754502
1, 29, 0.588593, 2.197778
1, 30, 0.595689, 2.735511
1, 31, 0.586050, 3.468711
1, 32, 0.568325, 1.655800
1, 33, 0.578400, 3.593690
1, 34, 0.568768, 2.981153
1, 35, 0.566458, 1.030748
1, 36, 0.553428, 2.568147
1, 37, 0.564160, 4.328265
1, 38, 0.531901, 1.954282
1, 39, 0.537802, 3.021726
1, 40, 0.537274, 2.335311
1, 41, 0.537991, 3.969627
1, 42, 0.529627, 2.517496
1, 43, 0.530301, 5.169291
1, 44, 0.522507, 5.254376
1, 45, 0.515878, 4.293210
1, 46, 0.517650, 3.700736
1, 47, 0.507491, 1.672807
1, 48, 0.494560, 1.952259
1, 49, 0.508373, 4.034303
1, 50, 0.490491, 2.890538
2, 1, 0.506172, 5.706371
2, 2, 0.507414, 4.598643
2, 3, 0.498370, 3.739777
2, 4, 0.491290, 4.284491
2, 5, 0.497453, 3.856923
2, 6, 0.484827, 4.403467
2, 7, 0.473755, 3.033293
2, 8, 0.452995, 1.876695
2, 9, 0.485188, 3.520796
2, 10, 0.500489, 6.667916
2, 11, 0.469716, 2.284042
2, 12, 0.486783, 4.797725
2, 13, 0.465463, 2.197685
2, 14, 0.499365, 4.285507
2, 15, 0.461178, 2.564413
2, 16, 0.455765, 1.985990
2, 17, 0.481720, 3.815335
2, 18, 0.481598, 3.895020
2, 19, 0.457335, 2.272119
2, 20, 0.440930, 1.650770
2, 21, 0.466006, 2.768157
2, 22, 0.439133, 1.957400
2, 23, 0.470029, 2.650220
2, 24, 0.436588, 1.735027
2, 25, 0.453054, 1.956795
2, 26, 0.448465, 2.210391
2, 27, 0.450841, 1.759421
2, 28, 0.469482, 3.144097
2, 29, 0.456336, 2.894734
2, 30, 0.471890, 3.063609
2, 31, 0.484249, 5.971545
2, 32, 0.479654, 4.424650
2, 33, 0.477009, 2.991150
2, 34, 0.457015, 2.898312
2, 35, 0.454661, 2.896041
2, 36, 0.476683, 4.943920
2, 37, 0.454984, 2.339749
2, 38, 0.465988, 3.536526
2, 39, 0.472952, 5.078657
2, 40, 0.410214, 1.031571
2, 41, 0.469498, 2.836104
2, 42, 0.459070, 2.511773
2, 43, 0.455248, 2.863011
2, 44, 0.470719, 5.050505
2, 45, 0.463732, 2.934452
2, 46, 0.462722, 3.553404
2, 47, 0.455146, 2.078673
2, 48, 0.451810, 1.671599
2, 49, 0.454446, 2.520730
2, 50, 0.469597, 3.984881
3, 1, 0.474628, 5.695015
3, 2, 0.453481, 2.222271
3, 3, 0.459737, 4.737083
3, 4, 0.469178, 3.965407
3, 5, 0.464838, 2.834966
3, 6, 0.459280, 3.590490
3, 7, 0.436770, 2.250001
3, 8, 0.457086, 2.571251
3, 9, 0.465288, 4.366443
3, 10, 0.423310, 1.958438
3, 11, 0.458299, 2.968709
3, 12, 0.467942, 4.929428
3, 13, 0.398522, 1.039428
3, 14, 0.439745, 2.565126
3, 15, 0.445746, 2.975706
3, 16, 0.433509, 2.067596
3, 17, 0.476008, 6.528414
3, 18, 0.443437, 2.905956
3, 19, 0.455557, 3.580208
3, 20, 0.442305, 2.123520
3, 21, 0.459436, 3.544795
3, 22, 0.469569, 4.937468
3, 23, 0.451940, 3.488269
3, 24, 0.447208, 2.780212
3, 25, 0.418014, 1.840033
3, 26, 0.434558, 2.271327
3, 27, 0.455889, 4.306094
3, 28, 0.432180, 1.941447
3, 29, 0.413209, 1.643474
3, 30, 0.460017, 3.989551
3, 31, 0.463867, 4.397707
3, 32, 0.437438, 3.031450
3, 33, 0.459715, 5.104144
3, 34, 0.451993, 3.006321
3, 35, 0.435820, 2.196455
3, 36, 0.438407, 2.333361
3, 37, 0.426961, 1.766301
3, 38, 0.455437, 3.839531
3, 39, 0.456339, 2.734189
3, 40, 0.439026, 2.908362
3, 41, 0.464342, 6.061694
3, 42, 0.442163, 2.613307
3, 43, 0.455262, 5.502535
3, 44, 0.468376, 4.260710
3, 45, 0.449665, 3.766959
3, 46, 0.432426, 2.891232
3, 47, 0.431020, 1.673768
3, 48, 0.406344, 1.654839
3, 49, 0.451291, 3.733321
3, 50, 0.436174, 2.516899
4, 1, 0.439280, 2.769789
4, 2, 0.431982, 2.339534
4, 3, 0.441642, 4.488215
4, 4, 0.422745, 2.591973
4, 5, 0.419096, 1.800338
4, 6, 0.448409, 4.363625
4, 7, 0.434234, 2.742276
4, 8, 0.444150, 3.500496
4, 9, 0.439147, 3.161245
4, 10, 0.437915, 2.982430
4, 11, 0.400668, 1.655593
4, 12, 0.425535, 2.891995
4, 13, 0.438519, 3.699587
4, 14, 0.399577, 1.819303
4, 15, 0.371726, 1.144350
4, 16, 0.460789, 4.403998
4, 17, 0.440176, 4.303498
4, 18, 0.425347, 2.943015
4, 19, 0.428726, 2.517673
4, 20, 0.422097, 2.196262
4, 21, 0.442248, 3.945642
4, 22, 0.434276, 3.563619
4, 23, 0.449839, 5.418011
4, 24, 0.395026, 1.953616
4, 25, 0.438424, 3.862779
4, 26, 0.419732, 2.113469
4, 27, 0.424004, 2.961383
4, 28, 0.435727, 3.060398
4, 29, 0.447345, 4.358215
4, 30, 0.412753, 2.271675
4, 31, 0.421974, 2.075358
4, 32, 0.441723, 3.966391
4, 33, 0.408664, 2.220856
4, 34, 0.415333, 1.675269
4, 35, 0.427051, 2.723625
4, 36, 0.437131, 4.089400
4, 37, 0.454715, 6.564710
4, 38, 0.438061, 2.837206
4, 39, 0.446477, 4.626001
4, 40, 0.439307, 3.700802
4, 41, 0.405786, 1.982104
4, 42, 0.437869, 2.749213
4, 43, 0.448918, 5.927630
4, 44, 0.440414, 5.142979
4, 45, 0.416055, 3.034300
4, 46, 0.419783, 2.867042
4, 47, 0.442303, 5.045704
4, 48, 0.392285, 1.842210
4, 49, 0.407487, 1.977843
4, 50, 0.441612, 4.970131
5, 1, 0.414556, 2.220841
5, 2, 0.408635, 2.402348
5, 3, 0.441226, 5.664200
5, 4, 0.417669, 2.899813
5, 5, 0.433778, 3.823431
5, 6, 0.359311, 1.032127
5, 7, 0.429128, 3.030676
5, 8, 0.389581, 1.644130
5, 9, 0.388294, 1.656015
5, 10, 0.440701, 5.016867
